,Name,Abrev
0,Arizona Cardinals,ARI
1,Atlanta Falcons,ATL
2,Baltimore Ravens,BAL
3,Buffalo Bills,BUF
4,Carolina Panthers,CAR
5,Chicago Bears,CHI
6,Cincinnati Bengals,CIN
7,Cleveland Browns,CLE
8,Dallas Cowboys,DAL
9,Denver Broncos,DEN
10,Detroit Lions,DET
11,Green Bay Packers,GB
12,Houston Texans,HOU
13,Indianapolis Colts,IND
14,Jacksonville Jaguars,JAX
15,Kansas City Chiefs,KC
16,Las Vegas Raiders,LV
17,Los Angeles Chargers,LAC
18,Los Angeles Rams,LAR
19,Miami Dolphins,MIA
20,Minnesota Vikings,MIN
21,New England Patriots,NE
22,New Orleans Saints,NO
23,New York Giants,NYG
24,New York Jets,NYJ
25,Philadelphia Eagles,PHI
26,Pittsburgh Steelers,PIT
27,San Francisco 49ers,SF
28,Seattle Seahawks,SEA
29,Tampa Bay Buccaneers,TB
30,Tennessee Titans,TEN
31,Washington Football Team,WSH
